en,ja
Advanced Bounty: Area Patrol,Advanced Bounty: Area Patrol
Advanced Bounty: Area Patrol,Advanced Bounty: Area Patrol
Advanced Bounty: Routine Cleanup,先遣賞金-定期掃討Senken Shōkin - Teiki Sōtō
Advanced Bounty: Routine Cleanup,先遣賞金-定期掃討Senken Shōkin - Teiki Sōtō
Advanced Bounty: Routine Cleanup,先遣賞金-定期掃討Senken Shōkin - Teiki Sōtō
Advanced Bounty: Routine Cleanup,先遣賞金-定期掃討Senken Shōkin - Teiki Sōtō
Advanced Bounty: Routine Cleanup,先遣賞金-定期掃討Senken Shōkin - Teiki Sōtō
Advanced Bounty: Routine Cleanup,先遣賞金-定期掃討Senken Shōkin - Teiki Sōtō
Advanced Bounty: Routine Cleanup,先遣賞金-定期掃討Senken Shōkin - Teiki Sōtō
Advanced Bounty: Routine Cleanup,先遣賞金-定期掃討Senken Shōkin - Teiki Sōtō
Advanced Bounty: Routine Cleanup,先遣賞金-定期掃討Senken Shōkin - Teiki Sōtō
Advanced Bounty: Routine Cleanup,先遣賞金-定期掃討Senken Shōkin - Teiki Sōtō
Advanced Burn Chip,上級着火チップ
Advanced Defense Certification Seal,高級防護認証バッジ
Advanced Ether Chip,上級エーテルチップ
Advanced Freeze Chip,上級氷結チップ
Advanced Physical Chip,上級物理チップ
Advanced Rupture Certification Seal,高級命破認証バッジ
Advanced Shock Chip,上級感電チップ
Advanced Stun Certification Seal,高級撃破認証バッジ
Advanced Support Certification Seal,高級支援認証バッジ
Glowing Green & Gold,翠と金色に光りて
Adventurer's Glory,探検家の誉
Adventures in Wonderland,ふしぎの国
æ%€æ$ Please Help!,縺繝ｼを救えRenkanshi wo Sukue
æ%€æ$ Please Help!,縺繝ｼを救え
Special Attack: Aerial Sweep,特殊スキル：空掠める_JP0A
EX Special Attack: Aerial Sweep - Clearout,強化特殊スキル：空を掠める・一掃
[Hollow] Aerospace City,[ホロウ]航空宇宙開発区[Horō] Kōkū Uchū Kaihatsuku
[Hollow] Aerospace Station,[ホロウ]航空宇宙科学ステーション
Affinity: Silver Heart's Resonance,[適合]シルバーハート・レゾナンス[Tekigō] Shirubāhāto - Rezonansu
Afternoon Dessert,午後のデザート
Afternoon Tea on the Terrace,テラスでアフタヌーンティー
Aftershock,追加攻撃
Aftershock,追加攻撃
Agarwood,沈香
Agate,アゲートAgēto
Agents,エージェントĒjento
Gear,武装
Agent Focus,クローズアップKurōzuappu
Agent Focus: Alice,クローズアップ・アリスKurōzuappu Arisu
Agent Focus: Anby,クローズアップ・アンビーKurōzuappu Anbī
Agent Focus: Anton,クローズアップ・アンドーKurōzuappu Andō
Agent Focus: Astra Yao,クローズアップ・アストラKurōzuappu Asutora
Agent Focus: Ben,クローズアップ・ベンKurōzuappu Ben
Agent Focus: Billy,クローズアップ・ビリーKurōzuappu Birī
Agent Focus: Burnice,クローズアップ・バーニスKurōzuappu Bānisu
Agent Focus: Caesar,クローズアップ・シーザーKurōzuappu Shīzā
Agent Focus: Corin,クローズアップ・カリンKurōzuappu Karin
Agent Focus: Dialyn,クローズアップ・ダイアリンKurōzuappu Daiarin
Agent Focus: Ellen,クローズアップ・エレンKurōzuappu Eren
Agent Focus: Evelyn,クローズアップ・イヴリンKurōzuappu Ivurin
Agent Focus: Grace,クローズアップ・グレースKurōzuappu Gurēsu
Agent Focus: Harumasa,クローズアップ・悠真
Agent Focus: Hugo,クローズアップ・ヒューゴKurōzuappu Hyūgo
Agent Focus: Jane,クローズアップ・ジェーンKurōzuappu Jēn
Agent Focus: Ju Fufu,クローズアップ・橘福福
Agent Focus: Koleda,クローズアップ・クレタKurōzuappu Kureta
Agent Focus: Lighter,クローズアップ・ライトKurōzuappu Raito
Agent Focus: Lucia,クローズアップ・リュシアKurōzuappu Ryushia
Agent Focus: Lucy,クローズアップ・ルーシーKurōzuappu Rūshī
Agent Focus: Lycaon,クローズアップ・ライカンKurōzuappu Raikan
Agent Focus: Manato,クローズアップ・真斗
Agent Focus: Miyabi,クローズアップ・雅
Agent Focus: Nekomata,クローズアップ・猫又
Agent Focus: Nicole,クローズアップ・ニコKurōzuappu Niko
Agent Focus: Orphie & Magus,エージェント・クローズアップ：オルペウス＆「鬼火」
Agent Focus: Pan Yinhu,クローズアップ・潘引壺
Agent Focus: Piper,クローズアップ・パイパーKurōzuappu Paipā
Agent Focus: Pulchra,クローズアップ・プルクラKurōzuappu Purukura
Agent Focus: Qingyi,クローズアップ・青衣
Agent Focus: Rina,クローズアップ・リナKurōzuappu Rina
Agent Focus: Seed,クローズアップ・「シード」
Agent Focus: Seth,クローズアップ・セスKurōzuappu Sesu
Agent Focus: Soldier 0 - Anby,クローズアップ・0号・アンビー
Agent Focus: Soldier 11,クローズアップ・「11号」
Agent Focus: Soukaku,クローズアップ・蒼角
Agent Focus: Trigger,クローズアップ・「トリガー」
Agent Focus: Vivian,クローズアップ・ビビアンKurōzuappu Bibian
Agent Focus: Yanagi,クローズアップ・柳
Agent Focus: Yidhari,クローズアップ・イドリーKurōzuappu Idorī
Agent Focus: Yixuan,クローズアップ・儀玄
Agent Focus: Yuzuha,クローズアップ・柚葉
Agent Focus: Zhu Yuan,クローズアップ・朱鳶
Gear,武装
Agent Gulliver,ガリバー隊員Gariba Tai'in
Agent Gulliver Core,コア・「ガリバー隊員」
Agent Outfit,コスチュームKosuchūmu
Agent Story,エージェント秘話Ējento Hiwa
Agent Story,エージェント秘話Ējento Hiwa
Agent Story,エージェント秘話Ējento hiwa
Agent Story,エージェント秘話
Agent Trust,信頼関係
Agents,エージェントĒjento
Agents of Justice! Move Out!,進め！正義の味方
Aggressive Enemy,好戦的なエネミー
"Ah, Very Well Then",(‍仕方ないな仕方ないなText for Wise/しょうがないなぁしょうがないなぁText for Belle‍)
Ah-Deh,おとう
Ahab,アハブAhabu
Ahn,アンプAnpu
Ahriman,アフリマンAfuriman
Ahriman - Energized,アフリマン・蓄エネ型
Aitana,アイタナAitana
Alexandrina Sebastiane,アレクサンドリナ・セバスチャンArekusandorina Sebasuchan
Alexis,アレクシスArekushisu
Alice Thymefield,アリス・タイムフィールドArisu Taimufīrudo
Alice's Namecard,アリスの名刺
Alice Tactical Prism Program,アリスの戦術プリズム構想
Alice Thymefield,アリス・タイムフィールドArisu Taimufīrudo
All's Fair in Loot and War,開けるなよ！絶対に開けるなよ！
All-New Program,放送開始
All Dew Elixir Spray,百露スプレー
"All Foxes, Assemble!","All Foxes, Assemble!"
All Retrieved!,全部回収完了
All for Show,シナリオ通り
All is Safe,全域安全
Allure of the Mysterious Treasure,秘宝の誘惑
Almost,"もう、届かないMō, Todokanai"
Almost,"もう、届かないMō, Todokanai"
Almost,"もう、届かないMō, Todokanai"
Almost Got It All!,もう少しで箱買い！
Alone in a Shared Dream,独り旅で同じ夢を
Alowyn Mystik,アロウィン・ミスティックArowin Mistutikku
Alowyn Mystik,アロウィン・ミスティックArowin Mistutikku
Alpeca,アルペカArupeka
Alpeca (Infested),アルペカ（寄主形態）Arupeka (Kishu Kētai)
Alpeca - Energized,アルペカ・蓄エネ型
"Also ""Fishing Prohibited""",「釣り禁止」はこっちも一緒
Alternative Stress Relief,ヘンテコなストレス発散法
Amateur Dream Seeker,夢追い初級者
Amateur Hacker,アマチュアハッカーAmachuahakkā
Amazing Howl,クールなウーフ
Ambition,野心
Ambush Node,奇襲ノード
Hollow Thug - Ambusher,ホロウ荒らし・奇襲者
Amillion,アミリオンAmirion
Amillion Core,コア・「アミリオン」
Amy,エミーEmī
An Attempt at Wealth,富を築く試みについて
Mole in the Hole (III),ホロウ：インポッシブル(下)Horō: Inposshiburu (Ge)
An Eye for An Eye,目には目をMe ni wa Me wo
An Hour Just for Us,わたしたちだけの1時間
An Idol's Idol,アイドルのアイドル
An Immortalized Moment,この一瞬は永遠に
An Incomplete Story,大団円とは言えないけれど
An Offer You Can't Refuse,An Offer You Can't Refuse
An Offer You Can't Refuse - Remix,An Offer You Can't Refuse - Remix
An Ordinary Mission Log,ありきたりな任務記録
An Ordinary Tale of Waifei Peninsula,衛非地区の日常ストーリー
An Outstanding Partner,優秀なパートナー
An Unexpected Visitor,尋常ではない来客
An Unfinished Story,未完の物語
An Uninvited Guest,招かれざる客Manekarezaru kyaku
An Uninvited Guest,招かれざる客Manekarezaru Gyaku
An Uninvited Guest,招かれざる客Manekarezaru kyaku
An Unreachable Reunion,An Unreachable Reunion
Anby Demara,アンビー・デマラAnbī Demara
Anby's Movie Time,アンビーの映画タイム
Anby's Namecard,アンビーの名刺
Anby's Problem,アンビーの当惑Anbī no Tōwaku
Anby Demara,アンビー・デマラAnbī Demara
Anby Doll,アンビー人形Anbī Ningyō
Ancient Calling,太古からの叫び声
"And You, Are the Companion of Justice",わが友よ、キミこそ正義の伴奏者だ!
And the True Heroes Are Always Behind the Scenes,そしてヒーローは暗幕に帰るSoshite Hīrō wa Anmaku ni Kaeru
And the True Heroes Are Always Behind the Scenes (I),そしてヒーローは暗幕に帰る（上）
And the True Heroes Are Always Behind the Scenes (II),そしてヒーローは暗幕に帰る（中）
And the True Heroes Are Always Behind the Scenes (III),そしてヒーローは暗幕に帰る（中）
Andreas,アンドレアスAndoreasu
Andrew's Plea,アンドリューの懇願
"Andrew, Cured?",アンドリュー、完治？
Andrew Visits Once More,アンドリューより再びのご愛顧Andoryu yori Futatabi Aiko
Andron,アンドロンAndoron
Andy,アンディAndi
Ange,アンジェAnje
Angel Murphy,エンゼル・マーフィーEnzeru Māfī
Angelfish,エンゼルフィッシュEnzerufisshu
Angelica,アンジェリカAnjerika
Angels of Delusion,"「妄想エンジェル」""Mōsō Enjeru"""
Angie,アンジーAnjī
Angler (A Melancholy Mercy for Fish Edition),釣り人（魚心あれば慈悲心Ver.）
Angler Points,フィッシングスコアFisshingu Sukoa
Ann,ヘイアンHeian
Anna,アンナAnna
Anne,アンネAnne
Anomaly,異常Ijō
Attribute Anomaly,状態異常Jōtai Ijō
Attribute Anomaly,状態異常Jōtai Ijō
Anomaly Component,異常キット
Anomaly Drill,異常演習
Anomaly Magnet Test,異常・磁性体テスト
Anomaly Mastery,異常掌握
Anomaly Mastery,異常掌握
Anomaly Proficiency,異常マスタリー
Anomaly Proficiency,異常マスタリー
Anonymous Wish Bottle,署名のない夢追うボトル
Another Bowl of Noodles!,ラーメン、おかわり！
Another Good Deed,またしても一「善」に出会う
Another Good Deed,三度「善」を成す
Another Good Deed Done,またしても一「善」を成す
Another Moment of Relaxation,またほっとするひと時がやって来た
Another Mood,違った気分
Another Star,もう一つの星
Anton Ivanov,アンドー・イワノフAndō Iwanofu
Anton's Namecard,アンドーの名刺
Anton Ivanov,アンドー・イワノフAndō Iwanofu
Anxietyboo,コミュ障ボンプComyu-shō Bonpu
Anxious Bangboo Investigator,焦るボンプ調査員
"Any Hope, Doc?",お医者さん、これ助かりますか？
Soukaku,蒼角Sōkaku
Apex of Evolution,進化の頂点
Appetizer,アペタイザーApetaizā
Applause for the Mockingbird,モッキンバードに拍手を
Appon,蓬Yomogi[!][!]Assumed reading
Appon and Ono,転蓬と荒野
Approaching Porcelume (I),フォーカスオン輝磁・其の一
Approaching Porcelume (II),フォーカスオン輝磁・其の二
Approaching Porcelume (III),フォーカスオン輝磁・其の三
Aptitude Talisman,適性の呪符
Aqua Mirage Aquarium,水族館「アクアミラージュ」
Aquascaping Expert,アクアリウムデザイナーAkuariumudezainā
Aquatic Delicacy,水中の珍味
Arbiter Certification Seal,アービター認証バッジ
Godfinger,"「GOD FINGER」""Goddo Fingā"""
Arcade Ace,アーケードの達人
Arche,アーチĀchi
Archie,チーChī
Archipelago Shoot,離島シューティング
Dash Attack: Arctic Ambush,ダッシュ攻撃：薄氷の急襲
Are There Multicolored Hollows in the Dreams of Proxies?,プロキシは虹色のホロウを夢に見るか？
Are These Really Just Ordinary Snacks?,本当にただのお菓子？
Area,Area
Area Codename: 0003,エリアコード：0003
Area Codename: 0004,エリアコード：0004
Area Codename: 0005,エリアコード：0005
Area Codename: 0006,エリアコード：0006
Area Codename: 0007,エリアコード：0007
Area Codename: 0009,エリアコード：0009
Area Codename: 0011,エリアコード：0011
Area Codename: 0012,エリアコード：0012
Area Codename: 0015,エリアコード：0015
Area Codename: 0016,エリアコード：0016
Area Codename: 0018,エリアコード：0018
Area Codename: 0020,エリアコード：0020
Area Codename: 0026,エリアコード：0026
Area Codename: 0027,エリアコード：0027
Area Codename: 0028,エリアコード：0028
Area Codename: 0030,エリアコード：0030
Area Codename: 0032,エリアコード：0032
Area Codename: 0033,エリアコード：0033
Area Codename: 0041,エリアコード：0041
Area Codename: 0043,エリアコード：0043
Area Codename: 0044,エリアコード：0044
Area Codename: 0049,エリアコード：0049
Area Codename: 0066,エリアコード：0066
Area Codename: 7777,エリアコード：7777
Area Codename: BB-01,エリアコード：BB-01
Area Codename: BB-02,エリアコード：BB-02
Area Codename: C#-01,エリアコード：C#-01
Area Codename: UC-0015,エリアコード：UC-0015
Routine Cleanup,定期掃討Teiki Sōtō
Argos Hollow,アルゴスホロウArugosuhorou
Aristocratic Delicacy,貴族の料理
Arken,誠Sei[!][!]Assumed reading
Arlaune,アルラウネAruraune
Arlaune - Energized,アルラウネ・蓄エネ型
Quick Assist: Armed Support,クイック支援：武力支援
Armed to the Teeth!,完全武装だよ、相棒！
Armor Master,装甲マスター
Armored Hati,アーマーハティĀmā Hati
Armored Hati - Energized,アーマーハティ・蓄エネ型
Arnold,アーノルドĀnorudo
Aroma Candle Promoter,アロマキャンドル販促担当Aroma Kyandoru Hansoku Tantō
The Mystery of Arpeggio Fault,断層の謎
Arpeggio Fault Follow-Up Investigation: Slumbering Land,断層調査（続）・眠りの地
Arpeggio Fault Follow-Up Investigation: Where the Mystery Went,断層調査（続）・秘蔵の行方
Array Mode,TVアレイモード
Arrow Squid,ホコサキイカHokosakiika
Hollow Thug - Arsonist,ホロウ荒らし・焼却狂
Art Imitates Life,芸術の源は生活にあり
Art of Ammunition,弾幕アート
Artful Brutalist,極致の戦闘芸術家
Artful Explosion,爆発という芸術
Artistic Cell,芸術センス
As Familiar as Home,第二の我が家
As Time Passes: A Decade of Suibian Temple,適当観に賑わいを！Tekitōkan ni Nigiwai wo
As Wealthy as a Country,国家規模の財産
As Yesterday Dies,"昨日、死んだとしてKinō, Shinda toshite"
As Yesterday Dies,昨日、死んだとして
Chain Attack: As You Wish,連携スキル：御意に
"As the sugar cube floats, fleeting in time",角砂糖が沈むまで
"As the sugar cube floats, fleeting in time",角砂糖が沈むまで
"As the sugar cube floats, fleeting in time",角砂糖が沈むまで
"As the sugar cube floats, fleeting in time",角砂糖が沈むまで
"As the sugar cube floats, fleeting in time",角砂糖が沈むまで
"As the sugar cube floats, fleeting in time",角砂糖が沈むまで
Asaba Harumasa,浅羽悠真Asaba Harumasa
Asaba Harumasa,浅羽悠真Asaba Harumasa
Asaba Harumasa's Namecard,浅羽悠真の名刺
Asaboo,ハルマサボンプHarumasabonpu
Ascending Dance,舞うように空へMau yōni Sora e
Ascending Dance,舞うように空へ
Asha,アシャAsha
Ask,アンナイAnnai
Assault! Bane of Ethereals,突撃！エーテリアスバスター
Assault Gunner,突撃砲兵
Assault Time,突入！
Hollow Thug - Assaulter,ホロウ荒らし・襲撃者
Assembly Commission: Return to Ridu,Assembly Commission: Return to Ridu
Assembly Line Inspection,パイプライン見学
Assessment Score,試験の得点
Assets,遺産
Assigned Commission,指名依頼
Assimilation,「知覚同化」
Assist,支援スキル
Assist,支援スキル
Assist,支援スキル
Assist,支援スキル
"Assist Follow-Up: ""Three Lifetimes of Fate""",支援突撃：三世に渡り巡り合う
Assist Follow-Up: Ace Reversal,支援突撃：逆転の切り札
Assist Follow-Up: Aiding Blade,支援突撃：支える剣
Assist Follow-Up: Back-to-Back Calls,支援突撃：連続リダイヤル
Assist Follow-Up: Boiling Pierce,支援突撃：煮えたぎる刺突
Assist Follow-Up: Celestial Cloud Blitz,支援突撃：蒼穹突貫
Assist Follow-Up: Charging Slam - Stab,支援突撃：ムクロ・スラスト-刺
Assist Follow-Up: Conducting Blow,支援突撃：先行導電
Assist Follow-Up: Counter Volt Needle,支援突撃：反撃の電気針
Assist Follow-Up: Course Disruption,支援突撃：軌道干渉
Assist Follow-Up: Crimson Core Burst,支援突撃：紅く爆ぜる花芯
Assist Follow-Up: Cross Riposte,支援突撃：クロスカウンター
Assist Follow-Up: Defensive Counter,支援突撃：正当防衛
Assist Follow-Up: Don't Break Contract,支援突撃：債務不履行罰則
Assist Follow-Up: Falling Petals,支援突撃：帰り花
Assist Follow-Up: Fatal Shot,支援突撃：急所エイム
Assist Follow-Up: Featherblade Execution,支援突撃：裁決の羽刃
Assist Follow-Up: Feral Blazing Maw,支援突撃：獣の食らいつき
Assist Follow-Up: Gale Sweep,支援突撃：疾風のなぎ払い_JP0A
Assist Follow-Up: Glacial Onslaught,支援突撃：氷襲の痛撃
Assist Follow-Up: Hammer Bell,支援突撃：鐘打
Assist Follow-Up: Harmony of Painted Dreams,支援突撃：ドリームハーモニー
Assist Follow-Up: Independent Pricing,支援突撃：別料金だよ
Assist Follow-Up: Lightning Whirl,支援突撃：スピニングサンダー
Assist Follow-Up: Limit Burst,支援突撃：極限突進
Assist Follow-Up: Lofty Ascent,支援突撃：高邁
Assist Follow-Up: Lone Shadow - Breaking Fang,支援突撃：孤影・断牙
Assist Follow-Up: Overtaking Maneuver,支援突撃：コーナーで差をつけるぜい
Assist Follow-Up: Pierce Heavens,支援突撃：衝天
Assist Follow-Up: Piercing Thunder,支援突撃：射貫く霹靂
Assist Follow-Up: Public Security Ruling,支援突撃：裁くは治安の名のもとに
Quadruple Meter Gavotte,四拍子のガヴォット
Assist Follow-Up: Quick Sweep,支援突撃：テキパキお掃除
Assist Follow-Up: Reignition,支援突撃：再燃
Assist Follow-Up: Ride the Momentum,支援突撃：勢いを味方に
Assist Follow-Up: Scorching Dew,支援突撃：ファイアリー・ブリュー
Assist Follow-Up: Scored a Run!,支援突撃：ホームイン！
Assist Follow-Up: Shadow Strike,支援突撃：迅影
Assist Follow-Up: Shark Cruiser,支援突撃：巡洋シャーク
Assist Follow-Up: Song of the Clear River,支援突撃：清江引
Assist Follow-Up: Stuffed Hard Candy Shot,支援突撃：ミックスキャンディーシュート
Assist Follow-Up: Sweeping Strike,支援突撃：巻き込み打撃
Assist Follow-Up: Vengeful Counterattack,支援突撃：復讐の反攻
Assist Follow-Up: We Have Cookies,支援突撃：クッキーどぞ！
Assist Follow-Up: Weeping Willow Stab,支援突撃：飛絮の刺し
Window of Opportunity,虚に乗ずる
Assist Follow-Up: Yugamae - Slash,支援突撃：弓構・斬
Assist,支援スキル
Assistant Director Pass,助監督IDカード
Card,カードKādo
Association Pioneer,協会の尖兵
Logistics Shop,兵站ショップHētan Shōppu
Astra Yao,アストラ・ヤオAsutora Yao
Astra's Invitation to Music,Astra's Invitation to Music
Astra-nomical Lightstick,輝きのペンライトKagayaki no Penraito
Astra-nomical Lightstick,輝きのペンライトKagayaki no Penraito
Astra-nomical Moment,輝きのモーメントKagayaki no Mōmento
Astra Yao,アストラ・ヤオAsutora Yao
Astra Yao's Namecard,アストラの名刺
Astra Yao - Aria of the Gentle Wind,[アストラ]そよ風のアリア
Astra Yao - Harmonic Echo,[アストラ]反響するハーモニー
Astra Yao - Hollow Symphony,[アストラ]ホロウ交響曲
Astra Yao - Perfect Save,[アストラ]完璧なフォロー
Astra Yao - Radiant Moment,[アストラ]煌きのモーメント
Astra Yao - Scattered Melody,[アストラ]散らばった旋律
Astra Yao Costume Design Contest,Astra Yao Costume Design Contest
[Astra Yao],[アストラ]
Astra Yao Tactical Prism Program,アストラの戦術プリズム構想
Astral Vision,見上げてごらん、星を
Astral Voice,静寂のアストラSējaku no Asutora
Attack,強攻Kyōkō
Attack Component,強攻キット
Attack Drill,強攻演習
Attack Plug-In,攻撃力プラグイン
Attack Polarizer Test,強攻・磁極片テスト
Fighting Style,Fighting Style
Specialty,特性Tokusē
Attack from the Shadows,影に隠れた襲撃
Attack on Cyberz,アタック・オン・サイバーズAtakku On Saibāzu
"(‍Attendant's Good Night WishAttendant's Good Night WishText for Wise/Good Night, My Lady.Good Night, My Lady.Text for Belle‍)","(‍執事と夜半の挨拶執事と夜半の挨拶Text for Wise/おやすみなさいませ、お嬢様おやすみなさいませ、お嬢様Text for Belle‍)(‍Shitsuji to Yahan no AisatsuShitsuji to Yahan no AisatsuText for Wise/Oyasuminasaimase, OjosamaOyasuminasaimase, OjosamaText for Belle‍)"
Attendant's Visit,執事が訪問する
Attendees' Pen Gift Box,会議出席者への万年筆セット
Attribute,属性Zokusē
Attribute Anomaly,状態異常Jōtai Ijō
Attribute Anomaly,状態異常Jōtai Ijō
Stats,ステータスSutētasu
Attribute,属性Zokusē
Atypical Extroverted Proxy,非典型的外向型プロキシ
Auction Invitation,オークションの招待状
Audio Booster Master Copy,音質ブースト原盤
Ault,オールトŌruto
Aunt He,ホーおばあさんHō Obāsan
Auntie Fang,お芳さん
Ether,エーテルĒteru
Austin,オースティンŌsutin
Automated Medical Cabin,全自動医療ポッド
Automatic Adrenaline Accumulation,アドレナリン自動回復Adorenarin Jidō Kaifuku
Automatic Vending Machine,自動販売機
Intelligent Construct,知能構造体Chinō Kōzōtai
Autonomous Assault Unit - Guardian MK III,自律強襲ユニット・「ガーディアンIII型」
Autonomous Assault Unit - Typhon Destroyer,自律強襲ユニット・「テューポーン・デストロイヤー」
Autonomous Robot: Blood Samples,自律ロボ-血液サンプル
Autonomous Robot: Bomb,自律ロボ-爆弾
Autonomous Robot: Gear Coins,自律ロボ-ギアコイン
Autonomous Robot: Key,自律ロボ-鍵
Autonomous Robot: Resonium,自律ロボ-レゾブレム
Autonomous Support Unit - Guardian,自律補助ユニット・「ガーディアン」
Autonomous Support Unit - Guardian MK II,自律補助ユニット・「ガーディアンII型」
Autonomous Support Unit - Heavy Striker,自律補助ユニット・「重装ストライカー」
Autonomous Support Unit - Heavy Striker MK II,自律補助ユニット・「重装ストライカーⅡ型」
Autonomous Support Unit - Lightfoot Rover,自律補助ユニット・「駿足ローバー」
Autonomous Support Unit - Lightfoot Rover MK II,自律補助ユニット・「駿足ローバーⅡ型」
Autonomous Support Unit - Sweeper,自律補助ユニット・「スイーパー」
Autonomous Tactical Unit — Shielded Defender,自律戦術ユニット・「シールドディフェンダー」
Autonomous Tactical Unit - Shielded Defender Omega,"自律戦術ユニット・「シールドディフェンダー・Ω」Jiritsu Senjutsu Unitto - ""Shīrudo Difendā - Ω"""
Autonomous Tactical Unit - Typhon Challenger,"自律戦術ユニット・「テューポーン・チャレンジャー」Jiritsu Senjutsu Yunitto - ""Tyūpōn - Charenjā"""
Autonomous Tactical Unit - Typhon Slugger,"自律戦術ユニット・「テューポーン・スラッガー」Jiritsu Senjutsu Yunitto - ""Tyūpōn - Suragga"""
Chain Attack: Avalanche,連携スキル：雪崩
Miasma Ravager - Avarus,ミアズマラヴェジャー・アヴァルスMiazuma Ravejā - Avarusu
Avocaboo,アボカドボンプAbokadobonpu
Avocaboo Core,コア・「アボカドボンプ」
Avocado Cafe Au Lait,アボ・カフェオレAbo Kafeore
Awake at Midnight,眠らない夜
Dodge Counter: Away From My Snacks,回避反撃：おやつはあげないっ！
Awoo! Woof Woof!,ワォン！ワンワン！
Azhu,ジュウJuu
Azure Crane,鶴啼けば空青し
"Azure Sea, Silken Sand, and a Late Summer",紺碧の海、砂浜、そして遅れてきた夏
Azure Spiral,翠星のマキガイ
BFF Best Friends Forever!,ずっとマク友！
BITE!,BITE！
BITE!,BITE！
BITE!,BITE！
BOOM!,BOOM！
Back 2 Life,ホロウ茶会
Back in Business,営業再開
Back on Track,心機一転
Back to Back With You,預け合う背中
Back to Childhood,童心に帰る
Back to School,バック・トゥ・スクールBakku Tu Sukūru
Back to That Summer,あの夏に戻って
Dodge Counter: Backdraft,回避反撃：逆火
Backup Battery Charge,予備バッテリー
Bad Student's Adventure,「『悪い子』アドベンチャー」
"Bad luck, Bad Luck, Leave Me Be",不幸よ不幸よあっちいけ
Baddieboo,チンピラボンプChinpirabonpu
Baddieboo Core,コア・「カチコミボンプ」
Bag of Cash,紙幣の詰まったカバン
Bagboo,フクロノボンプFukuronobonpu
Bagboo Core,コア・「フクロノボンプ」
Bai Cai,無財
Balanced Pressure,気圧均衡
Ballet Labyrinth - Day,バレエラビリンス・白昼
Ballet Labyrinth - Night,バレエラビリンス・暗夜
Ballet Twins,バレエツインズBareetsuinzu
Ballet Twins Blueprint,バレエツインズの見取図Baree Tsuinzu no Mitorizu
Ballet Twins Hollow,バレエツインズのホロウエリアBarētsuinzu no Horou Eria
Ballet Twins Road,バレエツインズ前Baretsuinzu Mae
Bamboo Ink Whispers,まんまるモフモフManmaru Mofumofu
Band of Brave Bangboo,ボンプちゃん、防衛軍に志願！
Band of Brave Bangboo (I),ボンプちゃん、防衛軍に志願！・その一
Band of Brave Bangboo (II),ボンプちゃん、防衛軍に志願！・その二
Band of Brave Bangboo (III),ボンプちゃん、防衛軍に志願！・その三
Band of Brave Bangboo (IV),ボンプちゃん、防衛軍に志願！・その四
Bang-Bang with Bangboo This Camellia Golden Week,ボンボンボン、ボンプと～沙羅GW～！
Bangboo,ボンプBonpu
Bangboo's Data Memory Card,ボンプのメモリーカード
Bangboo's Journey,ボンプの旅路
Bangboo 6,06号Zero Roku Gō
Bangboo 18,18号Jūhachi Gō
Bangboo 6,06号Zero Roku Gō
Bangboo Algorithm Module,ボンプ用アルゴリズムモジュール
Bangboo Assault Squad,ボンプ強襲隊
Bangboo Bash,ボンプでGO！
Bangboo Bash,ボンプでGO！
Bangboo Boo-Nappers,キッド・ナンナン・プーKiddo Nannan Pū
Dodge Counter: Bangboo Callback,回避反撃：ボンプ回生
Chain Attack,連携スキル
An Outstanding Partner,優秀なパートナー
Bangboo Commander!,ボンプ大統領！
BANGBOO CORE,BANGBOO CORE
Bangboo Diet Plan,ボンプダイエット計画Bonpu daietto Kēkaku
Bangboo Driver!,ボンプ、運転手になる！
Bangboo Energy Module Plug-In,ボンプエネルギープラグインBonpuenerugīpuraguin
Bangboo Golden Town,黄金ボンプ郷
Bangboo Golden Town: First Visit,「黄金ボンプ郷」、初訪問
Bangboo Golden Town: First Visit,「黄金ボンプ郷」、初訪問
Bangboo Golden Town: Revisit,「黄金ボンプ郷」、再訪
Bangboo Knows Poster,「ボンプは知っている！」のポスター
Bangboo Limbo,ボンプの牢獄
Bangboo Limbo,ボンプの牢獄
Bangboo Mechanic,ボンプの修理屋さん
Bangboo Merchant,ボンプ商人Bonpu Shōnin
Bangboo Merchant,ボンプ商人
Bangboo,ボンプBonpu
Bangboo Party - Sixth Street,ボンプ交流会・六分街
Bangboo Plug-In,プラグインPuraguin
Bangboo Software Patch,ボンプ用ソフトウェアパッチ
Bangboo Statue,ボンプの彫像Bonpu no Chōzō
Bangboo System Widget,ボンプ用システムウィジェット
Bangboo Temporary Access,ボンプ臨時アクセス権限
Bangboo knows!,ボンプは知っている！
Bangboo vs Ethereal,「ボンプVSエーテリアス」
Bangboo vs Ethereal (I),ボンプVSエーテリアス・その一
Bangboo vs Ethereal (II),ボンプVSエーテリアス・その二
Bangboo vs Ethereal (III),ボンプVSエーテリアス・その三
Bangboo vs Ethereal (IV),ボンプVSエーテリアス・その四
Bangbuck,ボンプコインBonpukoin
Signal Shop,発信源ストア
Bangvolver,リボルバボンプRiborubabonpu
Bangvolver Core,コア・「リボルバボンプ」
Bank Zero Branch,零号バンク営業店Zero Gō Banku Eigyōten
Bankrupt Bangboo,ビンボンプBinbonpu
Bannerfish,バトルカジキBatorukajiki
Banquet of Friends,レッツパーティRettsupāti
Additional Ability: Banquet of Perfection,追加能力：完美なる舞踏会
Banyrek,バニーレックBanīrekku
