en,ja
Can't Trust Everything,そういう日もある
Candiboo,烏龍糖
Cang Huang,蒼黄
Canghai,蒼海
Cannon Rotor,キャノンローラー
Captain Charge,「くるくる大将軍」
Orphie Magnusson & Magus,オルペウス・マグヌッソン＆「鬼火」
Captain Mewmew,「にゃんきち隊長」
Captain Morgan,モーガン船長
Captain Overtime!,Captain Overtime!
Caramel Dream,キャラメルドリーム
Caramel Drizzle Cake Slice,キャラメルソースケーキ
Card from Dew Gardening,「朝露」からのメッセージカード
Career Cover-Up Romance,オフィスの愛を取り戻せ
Carefree Girl,おっとりした少女
Careful Accounting,緻密な予算計画
Careless Stock Leads to Trouble,「荷」は口から出る
Carol,キャロル
Carole Arna,カローレ・アルナ
Carved Base,彫刻入りの植木鉢
Cash In,一釣千金
EX Special Attack: Cashflow Counter,強化特殊スキル：債「拳」弁砕
Casper,カスパー
Cassia,カシア
Cast a Trusting Gaze,信頼の眼差し
Casual Employee,マイペースな会社員
Cat's Lost & Found (A),猫の落とし物（上）
Cat's Lost & Found (B),猫の落とし物（下）
Quick Assist: Cat's Paw,クイック支援：猫の手貸すぞ☆
Cat and Mouse Game (III),泥棒猫、ネズミを制す（下）
Cat & Mouse Game?,キャッチ・ミー・イフ・ユー・キャン
Cat and Mouse Game (I),泥棒猫、ネズミを制す（上）
Cat & Mouse Misplaced,窮鼠と猫
Cat and Mouse Game,泥棒猫、ネズミを制す
Cat and Mouse Game (II),泥棒猫、ネズミを制す（中）
Cat on Patrol,猫さまは巡る
"Caught by the ""Cat Burglar""",「泥棒猫」、泥棒を捕らえる
Causality Modulator,「因果修正器」
Cautious Consumer,慎重なお客さん
Celestia School for Girls,セレスティア女学院
Celestial Observation,天体観測
Celestian Etiquette,セレスティア生の作法
Celine,セリン
Cement Mixer Modification Manual,ミキサー車安全改造マニュアル
Cerulean Pot,陶器の植木鉢
Ceta,セタ
"Chain Attack: ""Tipsy Concerto""",連携スキル：ほろ酔いコンツェルト
Chain Attack: Anointed with Wok Steam,連携スキル：料理人の気合
Chain Attack: Auric Ink Rush,連携スキル：玄墨迅撃
Chain Attack: Blazing Eruption,連携スキル：熾烈な爆炎
Chain Attack: Blazing Wrath,連携スキル：憤激の焔
Chain Attack: Celestial Harmony,連携スキル：月は星とともに
Chain Attack: Chorus of Celestial Wings,連携スキル：星翼のハーモニー
Chain Attack: Claw Swipe,特殊スキル：奇襲
Chain Attack: Code of Conduct,連携スキル：侍者の心得
Collaborative Construction,協同施工
Chain Attack: Electro Engine,連携スキル：ソレノイドエンジン
Chain Attack: Eradication Mode,連携スキル：殲滅モード
Chain Attack: Ether Shellacking,連携スキル：高級エーテルボム
Chain Attack: Final Judgement,連携スキル：最後の裁き
Chain Attack: Flowers of Sin,連携スキル：罪悪の華
Chain Attack: Frostbound Oath,連携スキル：寒霜の誓約
Chain Attack: Fuel-Fed Flame,連携スキル：フューエル・フレイム
Chain Attack: Go Go Go!,連携スキル：回れ回れ！
Chain Attack: Grand Slam!,連携スキル：満塁ホームラン！
"Chain Attack: Hey, Didn't Expect That, Right?",連携スキル：びっくりさせた？
Chain Attack: Kai - Hanare,連携スキル：会・離れ
Chain Attack: Leaping Thunderstrike,連携スキル：弾む落雷
Chain Attack: Lunalux - Snare,連携スキル：輝夜の糸・絆
Chain Attack: Natural Disaster,連携スキル：天崩・地裂
Chain Attack: Overheated Barrel,連携スキル：過熱銃身
Chain Attack: Prank Assault,連携スキル：いたずら合戦
Chain Attack: Pudding Slash,連携スキル：カツ・モツ・斬！
Chain Attack: Road Rage Slam,連携スキル：ロードレイジスラム
Chain Attack: Signed and Sealed,連携スキル：押印、決裁
Chain Attack: Sorry...,連携スキル：ごめんなさい…
Chain Attack: Spring's Call,連携スキル：春来たる
Chain Attack: Stage of Brilliance,連携スキル：ビビッド・シアター
Chain Attack: Starfall Intermission,連携スキル：星降るインタールード
Chain Attack: Starlight Mirage,連携スキル：スターライトグローリー
Chain Attack: Stygian Guide,連携スキル：三途川の引導
Chain Attack: Suppressing Tiger Cauldron,連携スキル：虎威の威嚇
Chain Attack: Tempest of Frosty Petals,連携スキル：ヘイル・ストリーム
Chain Attack: Tiger Cauldron Collapse,連携スキル：虎威の攻勢
Chain Attack: Tranquil Serenade,連携スキル：太平令
Chain Attack: Trick of Fate,連携スキル：運命のトリック
Chain Attack: Uplifting Flame,連携スキル：滾る烈火
Chain Attack: V-Form Scorching Sun,連携スキル：V式スコーチド・サン
Chain Attack: Welcome Mat,連携スキル：ウェルカムマット
Chain Crisis,「エンドレス・クライシス」
Chalky,シロ
Challenge: Eat your way through the resort!,目指せ、リゾートグルメ全制覇！
Challenge Area,「挑戦」エリア
Champion of Embers,栄光の残り火
Chance Encounter,「出会い」
Chandelier,シャンデリアの下で
Changing Business Laws,商法のアップデート
Changing Scenery,変わりゆく景色
Chaos Alpha,カオスα
Chaos Beta,カオスβ
Chaos Delta,カオスδ
Chaos Gamma,カオスγ
Chaos Jazz,ケイオス・ジャズ
Chaos Zeta,カオスζ
Special Area,特殊エリア
Chaotic Metal,混沌のヘヴィメタル
Chapter 10: A Single Slash to Repel the Ambush,第十章四面楚歌、一振りの破陣
Chapter 1: Seizing the Sea God's Offerings,第一章供え物強奪、海神驚く
Chapter 1 Intermission,第一章幕間
Chapter 2: Into the Dragon's Belly to Save the Villagers,第二章龍の腹入りて、村人を救う
Mission Unthinkable (A),「非常なる任務」（上）
The Midnight Pursuit (A),危うし、高楼の夜（上）
Chapter 3: Knight's Big Charge Against the Giant,第三章巨人と対面、騎士の大突進
Tour de Inferno (A),ツール・ド・インフェルノ（上）
Chapter 4: A Noble Rank Bestows Great Renown,第四章称号受領、名声轟かす
Chapter 5: Rivals Clash in a Fight to the Death,第五章現れる好敵手、死闘再び
Chapter 6: The Divine Steed and Quixie's Skills,第六章神馬と邂逅、キホーテの勇姿
Chapter 7: Rescuing the Innocent From the Execution Grounds,第七章刑場破り、冤罪の者を救う
Chapter 8: Finding the Assassin at the Celebration,第八章祝典の中、奇策を以て刺客を看破
Chapter 9: Mastery Through the Sound of Waves,第九章波音に耳をすませ、絶技会得
"Char Siu First, Chicken Feet Later",チャーシューまんに鶏もみじ
Charge for Meownia!,ねこアタック
Perlman,チャールズ・パールマン
Charlie,チャーリー
Charon,「カロン」
The Chasm,大地溝帯
Cheer On!,かっとばせ！
Cheese is Power,チーズこそ力
Cheesetopia,ダイナー「チートピア」
Cheesetopia Promo Photos (I),「チートピア」宣伝写真・その一
Cheesetopia Promo Photos (II),「チートピア」宣伝写真・その二
Cheesetopia Promo Photos (III),「チートピア」宣伝写真・その三
Chef,コック長
Cherished Flowers,大切にされているお花
Chess Cultivation: Begin your journey with a game,ゲームから始まる「修行棋譚」
Chestnut,トゲナシ
Chewie,アキ
Chief Classical Music DJ,首席DJ・クラシック音楽
"Chill Out, Please I",頭冷やしなよⅠ
"Chill Out, Please II",頭冷やしなよⅡ
"Chill Out, Please III",頭冷やしなよⅢ
Chips Are 50% Off Here?,ここのコンビニ、ポテト半額だって？
Chivalrous Spirit Medal I,義侠精神メダルⅠ
Chivalrous Spirit Medal II,義侠精神メダルⅡ
Chivalrous Spirit Medal III,義侠精神メダルⅢ
Chivalrous Spirit Medal IV,義侠精神メダルⅣ
Chivalrous Spirit Medal IX,義侠精神メダルⅨ
Chivalrous Spirit Medal VIII,義侠精神メダルⅧ
Chivalrous Spirit Medal VII,義侠精神メダルⅦ
Chivalrous Spirit Medal VI,義侠精神メダルⅥ
Chivalrous Spirit Medal V,義侠精神メダルⅤ
Choice,Choice
Choice Paralysis,選択恐怖症
Chop Junior,チョップJr.
Chop Junior's Letter,チョップJr.の返信
Chopper,チャンパ
Chord,コード
Display Stand,ギャラリー
Chronicle of Counseling,お悩み解決奇譚録
Chunshi,春実
Cilantro Latte,パクチーラテ
Gravity Cinema,グラビティ・シアター
Cinnabar Mill,辰砂の薬研
Circuit Reset,回路リセット
City Fund Experience,ファンド経験
City Guardian,街の守護者
Clara,クローラ
Clarity Bell,存思の鈴
Clash of Destiny,因縁の戦い
Class-Skipping Accomplice,サボりの共犯者
Classic Scene,名場面
Ultimate: Claw Smash,終結スキル：クロースマッシュ
Clay Doll,粘土フィギュア
Clean Sweep,一網打尽
Clean Sweep!,一網打尽！
Cleaning Whiz,掃除の達人
Cleanse Calamity,厄災の芽を摘む
Cleanup for the Masses,市民向け大掃除サービス
Clear Out Nightmares,悪夢を一掃せよ
EX Special Attack: Clearance Time,強化特殊スキル：スイーパー・タイム
Cleared Blockage,ブレイクスルー
Cleared the Board,表面を掃いただけ
Click Click Hollow Reporter,パシャリ！ホロウ記者
Click Click Hollow Reporter,Click Click Hollow Reporter
Client with Two Tails,二又の依頼人
"Close, Yet Worlds Apart",目と鼻の先
Close Combat,白兵戦
Closed Gate - Challenge,閉ざされたドア-善戦
Closed Gate - Corruption,閉ざされたドア-侵蝕
Closed Gate - Key,閉ざされたドア-暗号化キー
Closed Gate - Mechanism,閉ざされたドア-からくり
Closed Gate - Password,閉ざされたドア-パスワード
Closed Gate - Puzzle,閉ざされたドア-謎解き
Closed Gate - Time,閉ざされたドア-時間
Closed Gate - Wealth,閉ざされたドア-財産
"Closer, Closer...",近くに、もっと近くに…
Closer Than Drusilla,ドリシラより仲良し
Closest to You,アンタに一番近い場所
Clothes +1,新しいスタイル+1
Cloud-Devouring Polaris,こがねいろの小魚
Cloud Crest,雲紋徽
Cloudgate Chime,雲門の鐘
Clouds Dance Through Light and Shadow,浮雲、晦明を連れて
Cloudsong Incense Furnace,雲霊の香炉
Clover,クローバー
Clues about the Darkwater Research Center,コクスイ基地の手がかり
Coach Ace,アキコーチ
Coach Aster,星教官
Coach Explorey,シン監督
Mercury,「マーキュリー」
Coaliboo,炭団子
Coastal Fishing Spot,海沿いの釣り場
Coastal Reef,海辺の石礁
Coastal Yellow Croaker,近海フウセイ
Cobalt Magnet,コバルト磁石
Coburn,コバーン
Coco,ココ
Coco's Letter,ココの返信
Cocoon Across the Sea,海を渡る繭
Cocytus,「コキュートス」
Code of Integrity,誠実な経営
Codename Meaning,コードネームの意義
Coff Cafe,COFF CAFE
Coffee Mate,コーヒー・ラバーズ
Coffee Sorcery: Combat Simulation,コーヒー「ポーション」学-模擬実戦
Coffee Sorcery: Tuning,コーヒー「ポーション」学-調律
Coffee Time,コーヒータイム
Cola Can Jam,ちぇいさーっ！
Cold Noodles,黒鉢冷やし混ぜ麺
Dash Attack: Cold Snap,ダッシュ攻撃：寒潮
Cole,ケール
Collab Designer,共同デザイナー
Collaboorator Invitation Gift,「ボンプヘルパー」ギフトボックス
Vike,ヴァイク
Color of the Sky,空の色
Colossus,大きなる物
Colossus Bangboo,大ボンプ人
Combat,作戦
Combat Achievements,戦闘アチーブメント
Combat Commission,戦闘依頼
Combat Footage Review,作戦記録振り返り
Combat Permit,演武許可
Combat Simulation,模擬実戦
Combat Techniques,戦闘テクニック
Combat Training - Triple Bounty,実戦特訓-3倍懸賞
Come Alive,Come Alive
Come Alive Stripped.,Come Alive Stripped.
Come in and Sit Down?,ゆっくりしていかぬか？
Quick Assist: Coming Thru!,クイック支援：あたしがやる！
Commemoboo,記念ボンプ
Who Is Sus,不審な人物は誰
Commemoration,記念
Commemorative Cake Slice,記念のスライスケーキ
Commemorative Selfie,思い出の記念
Comminuted Fracture,粉砕骨折
Commissioner Lowell,ローウェル監察官
Common Mineral,普通の鉱石
Hollow,ホロウ
Companions,仲間
Compendium,クイック手帳
Ultimate: Complete Payback,連携スキル：押印、決裁
Complex,複雑
Concentrated Cooling Fluid,濃縮型冷却液
Concentrated Medicine,濃縮治療
Concentrated Medicine II,濃縮治療Ⅱ型
Concentrated Medicine Plug-In,濃縮治療プラグイン
Concentrated Sedative,濃縮鎮静
Concentrated Sedative II,濃縮鎮静Ⅱ型
Concerto of Ether,エーテルの合奏
Conflict Terminator,紛争を終わらせる者
"Connected Hearts, Chance Encounter",最高の映画友達！
Connecting with the Star,星とのつながり
Connecting with the Star (I),星とのつながり・その一
Connecting with the Star (II),星とのつながり・その二
Connecting with the Star (III),星とのつながり・その三
Connie,コニー
Conrad,コンラッド
Conspirator,「共謀者」
Construction Ruins,工事廃墟
Construction Ruins: Core,工事廃墟・核心
Construction Ruins: Frontline,工事廃墟・前線
Construction Ruins: Heartland,工事廃墟・奥地
Construction Ruins: Interior,工事廃墟・内部
Contact: Promise of Safety,接触：安全確保
Contact: Size Control,接触：規模制御
Contact with the Stars,星々とのコンタクト
Contract Engineer,期間工
Contraption,からくり
Control Lever,操作レバー
Controller Certification Seal,ルーラー認証バッジ
Controlling Territory,蟠踞
Convenience Store On Display,雑貨店の展示品
Conversation Rehearsal,会話のリハーサル
Conversation Topics for Sharing Noodles?,ラーメントーク
Cookie,「クッキー」
Special Attack: Cooling Bento,特殊スキル：おべんとフーフー
Copper,コッパー
Copper Paperweight,真鍮の文鎮
Coral Grouper,ホシマダラ
Cordis Germina,駆動する種
"Core Passive: ""Graceful Andante""",コアパッシブ：アンダンテ・カンタービレ
Core Passive: Accelerant,コアパッシブ：アクセレラント
Core Passive: Barrier of Resilience,コアパッシブ：堅固な壁
Core Passive: Blade Banner,コアパッシブ：刃旗激励
Core Passive: Brothers in Arms!,コアパッシブ：兄弟と一つに！
Core Passive: Crimson Mane Guard,コアパッシブ：赤鬣親衛隊
Core Passive: Day Break,コアパッシブ：払暁
Core Passive: Demolition Hammer,コアパッシブ：爆砕槌
Core Passive: Dirge of Destiny,コアパッシブ：運命のエレジー
Core Passive: Dreamscape Collection,コアパッシブ：夢掬いの空想
Core Passive: Entangle,コアパッシブ：絡まる糸
Core Passive: Eternal Seasons,コアパッシブ：千秋万歳
Core Passive: Five-Star Service Hotline,コアパッシブ：5つ星カスタマーサポート
Core Passive: Grandmaster of Mysticism,コアパッシブ：術法の第一人者
Core Passive: Fluctuating Voltage,波動電圧
Core Passive: Fu-rocious Might,コアパッシブ：虎の猛威
Core Passive: Guardian,コアパッシブ：守護
Core Passive: Heatwave,コアパッシブ：熱波
Core Passive: Hunter's Instinct,コアパッシブ：捕食者の本能
Core Passive: Hyperfocus,コアパッシブ：集中
Core Passive: Insight,コアパッシブ：洞察
Core Passive: Lost Nocturne,コアパッシブ：迷える夜の歌
Core Passive: Lunar Eclipse,コアパッシブ：月蝕
Core Passive: Mechanical Case,コアパッシブ：からくり箱
Core Passive: Meridian Enlightenment,コアパッシブ：気脈乾坤
Core Passive: Metallic Paws,コアパッシブ：フルメタル・レッグ
Core Passive: Mighty Molten Edge,コアパッシブ：焔刃の勢
Core Passive: Mini Destruction Partner,コアパッシブ：ちょっとした壊滅のオトモ
Core Passive: Nitro-Fuel Cocktail,コアパッシブ：スペシャルフューエル
Core Passive: One With the Mountains,コアパッシブ：山岳重畳我の如し
Core Passive: Power Charge,コアパッシブ：パワーチャージ
Core Passive: Pre-Driven Needle,コアパッシブ：プリドライバ撃針
Core Passive: Protector,コアパッシブ：守護者
Core Passive: Searing Cold,コアパッシブ：寒炎
Core Passive: Sharp-Toothed,コアパッシブ：口がおジョーズ
Core Passive: Soul-Searching Gaze,コアパッシブ：虚を突く幽目
Core Passive: Special Ops Ammunition,コアパッシブ：特殊弾薬
Core Passive: Steady Shot,コアパッシブ：射撃姿勢
Core Passive: Stealthy Paws,コアパッシブ：猫の忍び足
Core Passive: Taming Wind and Fire,コアパッシブ：風と炎を御して
Core Passive: Terminating Verdict,コアパッシブ：終末の裁定
Core Passive: Twin Rainbows of the Swordheart,コアパッシブ：双虹の剣心
Core Passive: Voltage Gap,コアパッシブ：電位差
Core Passive: Whimsical Wonder,コアパッシブ：ビビッド・カラフル
Core Strength Training I,コアトレーニングⅠ
Core Strength Training II,コアトレーニングⅡ
Core Strength Training III,コアトレーニングⅢ
Corey,コーリー
Corin Wickes,カリン・ウィクス
Corin's Namecard,カリンの名刺
Corin - Blasting Blowers,[カリン]特製送風機
Corin - Chainsaw Operation Manual,[カリン]刃のしつけ方
Corin - Cursed Tetanus,[カリン]災難の破傷風
Corin - Maid's Dainty Steps,[カリン]メイドのステップ
Corin - Overload Driver,[カリン]オーバードライブ
Corin - Unfortunate Laceration,[カリン]不幸な切り傷
[Corin],[カリン]
Corin Tactical Prism Program,カリンの戦術プリズム構想
Corinna,コリンナ
Corporate Drone Max!,働き全開！
Corrupted,侵蝕体
Corrupted Bandit - Frenzied Maniac,賊害侵蝕体・狂乱暴徒
Corrupted Bandit - Greedy Ranger,賊害侵蝕体・強欲射手
Corrupted Bandit - Ruthless Fiend,賊害侵蝕体・凶悪狂人
Corrupted Bandit - Vicious Striker,賊害侵蝕体・悪辣討手
Corrupted Bandit - Wicked Wraith,賊害侵蝕体・憤怒悪鬼
Corrupted Gacha,侵蝕カプセルトイ
Corrupted Overlord - Pompey,「覇者侵蝕体・ポンペイ」
Corruption,侵蝕
Corruption From Time,時の侵蝕
Corruption Merchants,侵蝕された商人
Counseling Hotline,お悩み相談窓口
Counseling Session Gone Wrong,空振りのカウンセリング
Counter,カウンター
Covenant Area,「契約」エリア
Quick Assist: Covering Fire,クイック支援：火力支援
Quick Assist: Covering Shot,クイック支援：火力援護
Crafting Station,作業台
Cramped Hang Out,ぎゅうぎゅうのデート
The Creator,始まりの主
Crescent Grunter,ハナサキウオ
Cretan Hollow,クリティホロウ
Criminal Investigation Special Response Team,特務捜査班
Crimson Miasma Spike,真紅の晶刺
Crimson Pierces the Twilight,朱に染まりし青煙
Crimson Silk,深紅の晶糸
Crisis,危機
Crisis Frontline,前線危機
Crisis on the Street Corner,街角の危機
Crispy Star Biscuit,クリスピースタークッキー
Crispyboo,サクサクボンプ
Critical Node,激変ノード
Cross Blast,十字爆破
Cross Blast II,十字爆破Ⅱ型
Crowds Gather in Droves,車輌潤沢
Crudely-Crafted Hollow Zero Investigator's ID,粗末な作りの零号ホロウ調査員身分証
Cryboo,ウルリンボンプ
Cryboo Core,コア・「ウルリンボンプ」
Cryptic,謎めいた古書
Crystal,水晶
Crystal Grain,結晶粒
Crystallized Plating Agent,結晶化助剤
Cunning Cutie,キュートで狡猾
Cunning Generosity,邪兎の気持ち
Cunning Hares,邪兎屋
Current Test,電流テスト
Cursed Blade Illusion,妖刀の見せる幻
"Curses, Gifts, and Love",呪いと贈り物、そして愛
Curtain Call,カーテンコール
Curtis Ravenlock,カーティス・レイヴンロック
Cyan Citrus Symphony,青い果実のシンフォニー
Cyber Challenge,バーチャル世界の挑戦
Cyber Deception,バーチャル世界の詭計
Cyber Duel,バーチャル世界の決闘
Cyber Elite,バーチャル世界の精鋭
Cyber Toxin,バーチャル世界の毒
Cyber Trap,バーチャル世界の罠
DAMIDAMI,DAMIDAMI
DEF,防御力
Knock Knock,Knock Knock
DO NOT ENTER,「DO NOT ENTER」
Da Yu,ユウ
Daily Good Deed,一日一「善」に出会う
Daily Life of a PubSec Officer,治安官の一日
Daily Life of a PubSec Officer: All Done,治安官の一日・大願成就
Daily Life of a PubSec Officer: Back as Planned,治安官の一日・約束通り訪問
Daily Life of a PubSec Officer: Friendly Shopkeeper,治安官の一日・親切な店長
Daily Life of a PubSec Officer: Go and Reapply,治安官の一日・再発行
Daily Life of a PubSec Officer: Listen to the New Rules,治安官の一日・新たなルールを聞く
Daily Medical Consultation,本日の診察
Daisy,ヒナギク
Damaged Data Card,壊れたメモリーカード
Damaged Diary,破損した日記帳
Damaged Safe,破損したパスワードボックス
Damaged Small Safe,壊れた小型保護ケース
Damian Blackwood,ダミアン・ブラックウッド
Dampened Ether Explosives,湿ったエーテル爆薬
Dan,ダン
Dana,ダーナ
Dance Trainee,ダンス練習生
Dance of Death,絶命舞曲
Dance of Death Acoustic.,Dance of Death Acoustic.
Dancing on Strings,操り糸は誘う
Dancing on the Blade's Edge,刃先の舞
Dancing with the Heatwave,熱波と踊ろう
"Dangerous ""Meet & Greet""",スリリングな「ファンミーティング」
Dangerous Fissure Leading Deeper,危険な下へ向かう裂け目
Dangerous Fissure Leading Outside,危険な上へ向かう裂け目
Dangerous Scenery,危険な景色
Dangerous Target,危険なターゲット
Dangerous Target Detected,危険ターゲット発見
Daniel,ダニエル
Dante,ダンテ
Dark Business Rivalry,闇の商業競争
Dark Side,ダークサイド
Quick Assist: Dark Thorn,クイック支援：黒い茨
Dark Tides Rising,渦巻く暗流
Darkest Hour,晦暗の時間
Darla,ダーラ
Dart of Desperation,デス・ダーツ
Dodge,回避
Dash: Roaming Hunt,ダッシュ：狩り遊ぶ
"Dash Attack: ""Lunar Eclipse Melody""",ダッシュ攻撃：月蝕みのシンフォニー
Dash Attack: Blade-Dancer's Gale,ダッシュ攻撃：剣舞の風
Dash Attack: Charging Slam,ダッシュ攻撃：ムクロ・スラスト
Dash Attack: Dangerous Fermentation,ダッシュ攻撃：アブない醸造
Dash Attack: Edge Jump,ダッシュ攻撃：エッジジャンプ
Dash Attack: Fearless Boar!,ダッシュ攻撃：猪突豪勇！
Dash Attack: Fire Suppression,ダッシュ攻撃：火力鎮圧
Dash Attack: Fire With Fire,ダッシュ攻撃：正面衝突
Dash Attack: Firepower Offensive,ダッシュ攻撃：火力奇襲
Dash Attack: First Strike Advantage,ダッシュ攻撃：早いもん勝ち
Dash Attack: Fleeting Flight,ダッシュ攻撃：掠め飛ぶ
Dash Attack: Frostbloom Impact,ダッシュ攻撃：霜花疾駆
Dash Attack: Fuyubachi,ダッシュ攻撃：冬蜂
Dash Attack: Hiten no Tsuru,ダッシュ攻撃：飛天の弦
Dash Attack: Hiten no Tsuru - Slash,ダッシュ攻撃：飛天の弦・斬
Dash Attack: Hog Rush,ダッシュ攻撃：猪突猛進
Dash Attack: Incoming Expense,ダッシュ攻撃：経費で落とす
Jack in the Box,開けてビックリ
Dash Attack: Keep it Clean,ダッシュ攻撃：清潔を保つ
Dash Attack: Magnetic Wheel Dance,ダッシュ攻撃：落電のロンド
Monstrous Wave,荒波
Dash Attack: Oopsy-Daisy!,ダッシュ攻撃：『断』
Dash Attack: Over Here!,ダッシュ攻撃：どこを見てるの？
Dash Attack: Overwhelming Firepower,ダッシュ攻撃：火力制圧
Dash Attack: Pedal to the Metal,ダッシュ攻撃：アクセルひと踏み
Dash Attack: Phantasm - Shatter,ダッシュ攻撃：シェード・破
Dash Attack: Phantom Thrust,ダッシュ攻撃：虚像の突刺し
Dash Attack: Piercing Ambush,ダッシュ攻撃：スリップ・アンブッシュ
Dash Attack: Quick Inspection,ダッシュ攻撃：抜き打ち検査
Dash Attack: Radiant Blade - Zanshin,ダッシュ攻撃：耀刃・残心
Dash Attack: Refraction,ダッシュ攻撃：ミラージュ
EX Special Attack: Flickering Flames,強化特殊スキル：烈炎噴射
Dash Attack: Scattering Sands,ダッシュ攻撃：飛び礫
Dash Attack: Silver Thorned Melody,ダッシュ攻撃：銀棘の円舞曲
Dash Attack: Sizzling Oil Supreme,ダッシュ攻撃：熱油全開
Dash Attack: Skybreaker,ダッシュ攻撃：凌雲・破壊の術
Dash Attack: Starlight Sanction,ダッシュ攻撃：スターライトジャッジメント
Dash Attack: Sudden Call,ダッシュ攻撃：突然の電話
Dash Attack: Sudden Surprise,ダッシュ攻撃：いきなりビックリ
Dash Attack: Taser Blast,ダッシュ攻撃：電弧斬り
Dash Attack: Thunder Assault,ダッシュ攻撃：電光の如き強襲
Dash Attack: Tiger Seven Forms - Mountain King's Game,ダッシュ攻撃：悪虎の型・大山の猛虎
Dash Attack: Tiger Seven Forms - Tiger Charge,ダッシュ攻撃：悪虎の型・虎奔
Dash Attack: Torrent,ダッシュ攻撃：奔流
Dash Attack: Tremble!,ダッシュ攻撃：震えろ
Dash Attack: Vengeful Specter,ダッシュ攻撃：怨魂返し
Dash Attack: You're Outta Luck!,ダッシュ攻撃：ついてないね～！
Data Bounty: Combat Simulation,データ懸賞-模擬実戦
Data Chip,データチップ
Data Collection,データ収集
Data Station,データステーション
Date Accident?,デート、それとも事故？
Dawn's Bloom,暁に咲く花
"Dawn, Karmic Fire",刻下の業火
Dax,ダーク
Daybreak,暁
Daylight Fantasy,真昼の夢
Dazzling Bangboo Setup,きらめく「イメチェン」大作戦
Dazzling Choir,燦々たるハーモニー
Dazzling Melody,煌めくリズム
Dead-End Express,デッドエンドへの特急列車
Dead End,行き止まり
Dead End Butcher,デッドエンドブッチャー
Dead End Butcher,ジ・エンドブッチャー
Dead End Hollow,デッドエンドホロウ
Dead in the Water,志は道半ば
Deadly Assault,危局強襲戦
Deadly Assault: Line Breaker,危局強襲・破陣
Deadly Interrogation,Deadly Interrogation
Deadly Situation,危急存亡
"Dearest Friend, Four Feet Off the Ground",地に足が着かない親友
Decibels,デシベル
Decoy Paper Armor,おとり箱
Deep-Rooted,深部掘削
"Deep ""Treason""",完全なる「裏切り」
Deep Concern,注意深い
Deep Into Restricted Area,禁区突入
Deep Sea Visitor,ディープシー・ビジター
Deepwater Fishing Spot,深海の釣り場
Defeat,Defeat
Defender Certification Seal,ガードナー認証バッジ
Defense,防護
Defense Coil Test,防護・コイルテスト
Defense Component,防護キット
Defense Drill,防護演習
Defense Force,防衛軍
Defense Force's Holiday,防衛軍の休日
Defense Force - Silver Squad,防衛軍・シルバー小隊
Defense Force Logistics Hub,防衛軍後方支援拠点
Defense Force Research Advisor,防衛軍研究顧問
Defenseless Line,解ける警戒の糸
Defensive Assist: Aegis Shield,パリィ支援：イージスの盾
Defensive Assist: Blazing Gunblade,パリィ支援：焔刃と烈銃
Defensive Assist: Clear Sky Surge,パリィ支援：清霄の型
Defensive Assist: Counter Surge,パリィ支援：逆襲する電荷
Defensive Assist: Decline Call,パリィ支援：着信拒否
Defensive Assist: Delaying Demise,パリィ支援：死線偏移
Defensive Assist: Desperate Defense,パリィ支援：抗ストレス反応
Defensive Assist: Disrupted Hunt,パリィ支援：狩りへの介入
Defensive Assist: Drifting Petals,パリィ支援：花筏
Defensive Assist: Emergency Brake,パリィ支援：極限ブレーキ
Defensive Assist: Flash,パリィ支援：電光一閃
Defensive Assist: Flashquake Rejection,パリィ支援：閃震の守り
Defensive Assist: Graceful Embellishment,パリィ支援：錦上の花
Defensive Assist: Guarding Tactics,パリィ支援：ディフェンス戦術
Defensive Assist: Hold the Line,パリィ支援：防衛ライン強化
Defensive Assist: Intimidating Presence,パリィ支援：見敵甲脱
Defensive Assist: Iron Bastion,パリィ支援：鉄壁
Defensive Assist: Iron Wrist,パリィ支援：鉄腕
Defensive Assist: Last Defense,パリィ支援：最後の防衛線
Defensive Assist: Lone Shadow - Mountain Stand,パリィ支援：孤影・不動
Defensive Assist: Parry Guard,パリィ支援：カウンターディフェンス
Defensive Assist: Protective Hammer,パリィ支援：護身槌
Defensive Assist: P—Please allow me!,パリィ支援：わ、私がやります！
Defensive Assist: Radiant Reversal,パリィ支援：流光の逆飛び
Defensive Assist: Replenish Your Fun,パリィ支援：はじける栄養バー
Defensive Assist: Risk Allocation,パリィ支援：リスク分散
Defensive Assist: Safe on Base!,パリィ支援：セーフ！
Defensive Assist: Silent Protection,パリィ支援：静かなる援護
Defensive Assist: Silver Umbrella Formation,パリィ支援：銀傘のパレード
Defensive Assist: Smoky Cauldron,パリィ支援：オイリー・スモーク
Defensive Assist: Sprouting Barrier,パリィ支援：咲き始めの障壁
Defensive Assist: Steadfast Crouching Tiger,パリィ支援：不動の虎構え
Defensive Assist: Swift Break,パリィ支援：スウィフト・ブレイク
Defensive Assist: The End Has Not Come,パリィ支援：死はいまだ遠く
The Hare Strikes Back!,邪兎の出番！
Defensive Assist: Thundershield,パリィ支援：迅雷シールド
Defensive Assist: Voice of Illusory Dreams,パリィ支援：ドリームコール
Defensive Assist: Wavefront Impact,パリィ支援：向かい波
Defensive Assist: Yugamae,パリィ支援：弓構
Defiant Seagull,反抗的なカモメ
Definitely Not Thinking of Working,仕事がしたいわけじゃなく
